codigo_pozo,nombre_lugar,x,y,Fecha_muestreo,N-Amoniacal (mg/L),N-Nitritos (mg/L),N-Nitratos (mg/L),Alcalinidad Total (mg/L),Materia Organica (mg/L),Conductividad (uS/cm),pH,Bicarbonato (mg/L),Carbonato (mg/L),Sulfato (mg/L),Magnesio (mg/L),Calcio (mg/L),Sodio (mg/L),Potasio (mg/L),Cloruro (mg/L),Arsenico (mg/L),Mercurio (mg/L),Manganeso (mg/L),Cobre (mg/L),Cromo Total (mg/L),Coliformes Fecales (UFC/100 mL)
01,AGUATERIA YBU,444842.952216914,7196078.49852428,22-06-2018,0.0191,0.004,95.8,8.86,0.008,383,5.7,8.86,0,8.31,13.37,13.62,12,7.55,26.74,0.03,0.0005,0.05,0.05,0.1,0
02,TyC,443455.389531722,7194145.98973021,22-06-2018,4.33,0.0128,96.3,50.73,0.008,467,5.97,50.73,0,11.11,16.44,22.84,20.2,12.8,33.49,0.03,0.0005,0.05,0.05,0.1,0
03,PACHOLI,444579.145650707,7190698.69506867,22-06-2018,0.015,0.0025,22.9,10.83,0.008,103.4,5.5,10.83,0,4.95,4.99,5.72,4.12,4.71,8.49,0.03,0.0005,0.05,0.05,0.1,0
04,ACOSTA NU1,443481.385044,7188683.52565395,22-06-2018,0.0295,0.004,46.6,9.85,0.008,220,5.21,9.85,0,5.74,4.59,11.22,13.7,6.05,23.49,0.03,0.0005,0.05,0.05,0.1,0
05,ACOSTA NU2,442183.274792829,7189534.020682,22-06-2018,0.015,0.0025,6.96,29.6,0.008,99.6,5.87,29.6,0,3.87,4.12,6.13,5.64,2.75,4.49,0.03,0.0005,0.05,0.05,0.1,0
06,MUTUAL 29 DE SETIEMBRE,441266.990751907,7196541.99137001,27-06-2018,0.015,0.0025,169.5,21.67,0.1672,287,6.32,21.67,0,6.06,18.77,30.86,18.3,17,43.99,0.03,0.0005,0.05,0.05,0.1,0
07,SOLARES DE LAMBARE,438326.162187965,7197708.66923661,27-06-2018,0.015,0.0025,53.9,15.27,0.579,243,6.33,15.27,0,1.98,8.8,13.23,7.32,8.98,16.49,0.03,0.0005,0.05,0.05,0.1,0
08,SAN ISIDRO,438999.259799135,7195348.87429266,27-06-2018,0.015,0.0025,63.8,16.75,1.074,258,6.9,16.75,0,3.49,10.72,14.03,11.6,8.26,22.49,0.03,0.0005,0.05,0.05,0.1,0
09,YRENDA,439608.020635498,7192838.37047883,27-06-2018,0.015,0.0025,37.2,10.83,0.744,185,5.99,10.83,0,6.38,5.83,7.62,20.2,7.48,13.99,0.03,0.0005,0.05,0.05,0.1,0
10,CONAVI,441965.038507051,7193513.63164373,27-06-2018,0.015,0.0025,35.5,6.89,0.826,134,5.82,6.89,0,2.69,3.86,8.17,4.31,7.2,10.49,0.03,0.0005,0.05,0.05,0.1,0
