codigo_pozo,nombre_lugar,x,y,Fecha_muestreo,N-Amoniacal (mg/L),N-Nitritos (mg/L),N-Nitratos (mg/L),Alcalinidad Total (mg/L),Materia Organica (mg/L),Conductividad (uS/cm),pH,Bicarbonato (mg/L),Carbonato (mg/L),Sulfato (mg/L),Magnesio (mg/L),Calcio (mg/L),Sodio (mg/L),Potasio (mg/L),Cloruro (mg/L),Arsenico (mg/L),Mercurio (mg/L),Manganeso (mg/L),Cobre (mg/L),Cromo Total (mg/L),Coliformes Fecales (UFC/100 mL)
,,446366.9998,7209574.01159999,02/06/2017,,,,26,,860,5.7,,,,10.94,33.6,,,189,,,,,,
,,448772.0003,7213050.01099999,02/06/2017,,,,13,,936,5.22,,,,7.05,39.6,,,254,,,,,,
,,446248.0002,7209493.0107,02/06/2017,,,,174,,346,8.02999999999999,,,,4.13,21.6,,,7,,,,,,
,,446529.999599999,7209407.01079999,02/06/2017,,,,26,,69.9,6.96,,,,1.46,2,,,8,,,,,,
,,446633.0003,7209343.0116,02/06/2017,,,,37,,84.0999999999999,6.06,,,,1.46,2.8,,,5,,,,,,
,,444156.999999999,7195364.0109,02/06/2017,,,,19,,148.9,6.13,,,,2.67,12.4,,,18,,,,,,
,,444285.999799999,7198966.01169999,02/06/2017,,,,19,,235,5.8,,,,8.02,24.8,,,32,,,,,,
,,444738,7189268.0115,02/06/2017,,,,23,,134,5.97,,,,3.65,10,,,15,,,,,,
,,444779.999699999,7191781.0118,02/06/2017,,,,32,,114.099999999999,6.4,,,,4.62,8,,,14,,,,,,
,,444779.999699999,7191781.0118,02/06/2017,,,,32,,114.099999999999,6.4,,,,4.62,8,,,14,,,,,,
,,444788,7189379.0113,02/06/2017,,,,23,,133.5,5.97,,,,3.4,10.4,,,16,,,,,,
,,444788,7189379.0113,02/06/2017,,,,23,,133.5,5.97,,,,3.4,10.4,,,16,,,,,,
,,444796.9999,7189375.0107,02/06/2017,,,,20,,65.5,6.05,,,,2.67,15.6,,,17,,,,,,
,,445746.999699999,7188121.0108,02/06/2017,,,,42,,81.2999999999999,5.96,,,,3.4,13.6,,,10,,,,,,
,,445962.999699999,7209101.0114,02/06/2017,,,,28,,88.4,6.2,,,,2.19,1.6,,,10,,,,,,
,,446667.000199999,7200723.01119999,02/06/2017,,,,33,,176.5,5.66,,,,1.94,6.8,,,31,,,,,,
,,446767.0003,7190966.0109,02/06/2017,,,,15,,66.5999999999999,5.77,,,,2.92,5.6,,,9,,,,,,
,,446767.0003,7190966.0109,02/06/2017,,,,15,,66.5999999999999,5.77,,,,2.92,5.6,,,9,,,,,,
,,446819.999699999,7192111.01139999,02/06/2017,,,,12,,95.0999999999999,5.7,,,,2.43,6.8,,,10,,,,,,
,,447258.999599999,7201420.0113,02/06/2017,,,,17,,314,5.5,,,,9.48,26.8,,,44,,,,,,
,,447691.0004,7189326.0118,02/06/2017,,,,36,,195.5,6.11,,,,6.08,13.1999999999999,,,30,,,,,,
,,448129.999499999,7198777.0114,02/06/2017,,,,24,,42.7999999999999,5.86,,,,1.46,2.8,,,7,,,,,,
,,448190.0002,7197408.01159999,02/06/2017,,,,6,,48,6.19,,,,0.97,2,,,5,,,,,,
,,448190.0002,7197408.01159999,02/06/2017,,,,6,,48,6.19,,,,0.97,2,,,5,,,,,,
,,448361.0003,7207853.0109,02/06/2017,,,,36,,49.2,5.86,,,,1.22,,,,2,,,,,,
,,448429.999899999,7207085.0115,02/06/2017,,,,25,,56.2,6.34,,,,0.97,1.6,,,3,,,,,,
,,448594.999599999,7197598.0115,02/06/2017,,,,48,,235,6.2,,,,4.37,13.1999999999999,,,49,,,,,,
,,448714.0003,7198062.01099999,02/06/2017,,,,10,,118.299999999999,5.54,,,,4.62,18.3999999999999,,,12,,,,,,
,,449204.999999999,7196474.01099999,02/06/2017,,,,26,,519,5.65,,,,5.35,29.6,,,41,,,,,,
,,449215.999599999,7199526.0107,02/06/2017,,,,20,,37.7999999999999,6.2,,,,0.49,1.6,,,2,,,,,,
,,449763.0003,7206709.0115,02/06/2017,,,,9,,181.8,5.53,,,,1.94,10.4,,,41,,,,,,
,,449858.0002,7202031.011,02/06/2017,,,,15,,118.799999999999,5.34,,,,2.67,6.8,,,18,,,,,,
,,449858.0002,7202031.011,02/06/2017,,,,15,,118.799999999999,5.34,,,,2.67,6.8,,,18,,,,,,
,,449858.0002,7202031.011,02/06/2017,,,,9,,154.099999999999,5.19,,,,3.65,9.19999999999999,,,20,,,,,,
,,449984.999999999,7203126.0113,02/06/2017,,,,22,,61.7999999999999,5.73,,,,2.19,4.8,,,10,,,,,,
,,450554.999699999,7204506.01159999,02/06/2017,,,,35,,147.4,6.92,,,,3.65,19.1999999999999,,,19,,,,,,
,,451005.0004,7194538.0113,02/06/2017,,,,9,,162.699999999999,5.63,,,,3.65,16.3999999999999,,,15,,,,,,
,,451397.999599999,7207362.0109,02/06/2017,,,,39,,112.4,6,,,,5.1,12.4,,,20,,,,,,
,,451519.999699999,7209186.01099999,02/06/2017,,,,35,,220,6.5,,,,2.43,8,,,21,,,,,,
,,451749.0003,7208742.01169999,02/06/2017,,,,18,,264,5.62,,,,2.43,12.4,,,26,,,,,,
,,452159.000199999,7217067.0109,02/06/2017,,,,42,,302,6.3,,,,1.94,6.8,,,70,,,,,,
,,452175.000199999,7196834.01159999,02/06/2017,,,,15,,215,5.41,,,,5.35,23.6,,,31,,,,,,
,,452593.0005,7220444.0108,02/06/2017,,,,42,,1203,6.04,,,,5.83,34.7999999999999,,,363,,,,,,
,,452968.9998,7203608.01109999,02/06/2017,,,,16,,39.5,5.5,,,,1.46,2.8,,,9,,,,,,
,,453992.9998,7192620.0109,02/06/2017,,,,28,,136.599999999999,5.37,,,,2.67,10,,,17,,,,,,
,,454052.0003,7218108.01109999,02/06/2017,,,,57,,303,6.51,,,,5.59,16.8,,,42,,,,,,
,,454055.0003,7193945.0118,02/06/2017,,,,7,,220,5.33,,,,5.83,16.3999999999999,,,20,,,,,,
,,453757.999499999,7213935.0107,02/06/2017,,,,296,,943,7.56,,,,8.51,78.4,,,116,,,,,,
,,454056.9999,7216734.0115,02/06/2017,,,,33,,2970,6.07,,,,26.9699999999999,69.5999999999999,,,1406,,,,,,
,,454610,7210600.0113,02/06/2017,,,,36,,151,6.67,,,,5.1,11.6,,,5,,,,,,
,,455157.999899999,7196165.0107,02/06/2017,,,,12,,78.2,5.61,,,,3.16,6,,,12,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
